,predictions_resnet,images
0,0.5115780234336853,P_102.png
1,0.5113686323165894,P_16.png
2,0.5116663575172424,P_118.png
3,0.5120633840560913,P_114.png
4,0.5122257471084595,P_2.png
5,0.512172281742096,P_20.png
6,0.511146605014801,P_26.png
7,0.5121123194694519,P_38.png
8,0.512623131275177,P_41.png
9,0.5109320878982544,P_49.png
10,0.5109776258468628,P_40.png
11,0.5121458172798157,P_55.png
12,0.512291431427002,P_58.png
13,0.5107355713844299,P_53.png
14,0.5117124915122986,P_54.png
15,0.5119162797927856,P_65.png
16,0.5120158791542053,P_68.png
17,0.5119128227233887,P_7.png
18,0.5111845135688782,P_75.png
19,0.5120209455490112,P_112.png
20,0.5117545127868652,P_116.png
21,0.5119071006774902,P_14.png
22,0.5118150115013123,P_111.png
23,0.5118432641029358,P_1.png
24,0.5107954740524292,P_21.png
25,0.5122407674789429,P_44.png
26,0.5112606883049011,P_46.png
27,0.5112048387527466,P_43.png
28,0.5121003985404968,P_30.png
29,0.5121082067489624,P_60.png
30,0.5117509365081787,P_66.png
31,0.5123994946479797,P_85.png
32,0.5120989084243774,P_94.png
33,0.5108015537261963,P_84.png
34,0.5123531222343445,P_83.png
35,0.5119319558143616,P_76.png
36,0.5121927261352539,P_77.png
37,0.5123662948608398,P_82.png
38,0.5125215649604797,P_93.png
39,0.5121164917945862,P_96.png
40,0.5115089416503906,P_80.png
41,0.5120249390602112,P_87.png
42,0.5121195316314697,P_11.png
43,0.5114032626152039,P_115.png
44,0.5111402869224548,P_18.png
45,0.5108530521392822,P_12.png
46,0.5120903849601746,P_119.png
47,0.5122334957122803,P_15.png
48,0.5123352408409119,P_107.png
49,0.5123181343078613,P_10.png
50,0.5119945406913757,P_101.png
51,0.512416422367096,P_108.png
52,0.5115421414375305,P_110.png
53,0.5113890767097473,P_28.png
54,0.5124569535255432,P_32.png
55,0.5112574696540833,P_37.png
56,0.5117008090019226,P_34.png
57,0.512588620185852,P_36.png
58,0.5115208625793457,P_39.png
59,0.5120879411697388,P_42.png
60,0.5119914412498474,P_61.png
61,0.5125629305839539,P_59.png
62,0.5101644396781921,P_70.png
63,0.5114983916282654,P_72.png
64,0.5118913650512695,P_74.png
65,0.5069751143455505,P_97.png
66,0.5118706822395325,P_99.png
67,0.5117921829223633,P_73.png
68,0.5107440948486328,P_13.png
69,0.5119842886924744,P_22.png
70,0.5118703842163086,P_105.png
71,0.511500895023346,P_109.png
72,0.5116433501243591,P_103.png
73,0.5121022462844849,P_19.png
74,0.5105677247047424,P_27.png
75,0.5121726989746094,P_3.png
76,0.5116177797317505,P_33.png
77,0.5121689438819885,P_31.png
78,0.5093953609466553,P_47.png
79,0.5125786066055298,P_48.png
80,0.5119232535362244,P_57.png
81,0.5123643279075623,P_5.png
82,0.5125874876976013,P_51.png
83,0.5120964646339417,P_56.png
84,0.512536346912384,P_67.png
85,0.5118308067321777,P_92.png
86,0.5116155743598938,P_86.png
87,0.5122299194335938,P_9.png
88,0.5112821459770203,P_90.png
